,slide_id,case_id,magnification,level_downsamples
724,TCGA-HT-A619-01Z-00-DX1.15587DED-9F06-4295-A772-BAA51D7A2B9A,TCGA-HT-A619,40x,"(1.0, 4.000047261212723, 16.00132350160711, 32.005673222390314)"
725,TCGA-HT-A61A-01Z-00-DX1.1E02526B-2D50-482D-B4A8-F326E9CE3F55,TCGA-HT-A61A,40x,"(1.0, 4.000112283853582, 16.00307007438539, 32.01423137397508)"
726,TCGA-HT-A61B-01Z-00-DX1.4D520756-D42C-480F-B13A-E2D6B4421668,TCGA-HT-A61B,40x,"(1.0, 4.000067836596383, 16.0009892295268, 32.0019784590536)"
727,TCGA-HT-A61C-01Z-00-DX1.034BF077-8710-4F6A-B346-67740B77A277,TCGA-HT-A61C,40x,"(1.0, 4.000057954216169, 16.00162300023186, 32.0069573283859)"
728,TCGA-HT-A74H-01Z-00-DX1.07757B94-980F-4F0C-95DE-A99DEA555617,TCGA-HT-A74H,40x,"(1.0, 4.000074604595643, 16.0020680194246, 32.0041360388492)"
729,TCGA-HT-A74J-01Z-00-DX1.7D0134E1-F89A-401C-9F1E-A14B530E6663,TCGA-HT-A74J,40x,"(1.0, 4.000043500957021, 16.002963442867635)"
730,TCGA-HT-A74K-01Z-00-DX1.D1FB878B-4562-45A9-ACB1-FAAB8EA24EF7,TCGA-HT-A74K,40x,"(1.0, 4.000103921296938, 16.0026324234849, 32.0052648469698)"
731,TCGA-HT-A74L-01Z-00-DX1.E51CD31D-B564-4E49-8630-3485CE49B9B6,TCGA-HT-A74L,40x,"(1.0, 4.0, 16.0, 32.00826504861872)"
732,TCGA-HT-A74O-01Z-00-DX1.C16EB67A-110A-4336-AC84-A1A677A41244,TCGA-HT-A74O,40x,"(1.0, 4.000022274691496, 16.001158438780966, 32.00822978422781)"
733,TCGA-HW-7486-01Z-00-DX1.fc5aa2ce-c05e-40b6-934a-d44ef7feda2b,TCGA-HW-7486,40x,"(1.0, 4.000038611529403, 16.00228341196421, 32.007773718583294)"
734,TCGA-HW-7487-01Z-00-DX1.282f8f7a-b61e-45be-8490-adcecc97f326,TCGA-HW-7487,40x,"(1.0, 4.00010610535364, 16.001288387282713, 32.002576774565426)"
735,TCGA-HW-7489-01Z-00-DX1.4586f9f6-ff9b-4966-a487-769d135024dd,TCGA-HW-7489,40x,"(1.0, 4.0, 16.00027570995313, 32.00355329607886)"
736,TCGA-HW-7490-01Z-00-DX1.2109dc98-1288-4da2-963e-4544db680603,TCGA-HW-7490,40x,"(1.0, 4.000067577939105, 16.000860815713636, 32.00564903579614)"
737,TCGA-HW-7491-01Z-00-DX1.0648acf5-5dbd-47ad-96fd-52d765398718,TCGA-HW-7491,40x,"(1.0, 4.000061258324047, 16.00270364767119, 32.00926696013822)"
738,TCGA-HW-7493-01Z-00-DX1.5cb8de89-ec52-43fc-b977-7135e2b09397,TCGA-HW-7493,40x,"(1.0, 4.000109011627907, 16.002565971964238, 32.010815274841434)"
739,TCGA-HW-7495-01Z-00-DX1.6453ae00-7849-4b90-ac8f-fd32791d21b1,TCGA-HW-7495,40x,"(1.0, 4.000079749056303, 16.001077975443167, 32.004825398204105)"
740,TCGA-HW-8319-01Z-00-DX1.DB3012DE-00C2-4425-B3E4-6F5FF19CE290,TCGA-HW-8319,40x,"(1.0, 4.000044081992506, 16.000529007229765, 32.006868490419734)"
741,TCGA-HW-8320-01Z-00-DX1.71FC4C29-1D2A-4227-82B9-9D59A9AF38A0,TCGA-HW-8320,40x,"(1.0, 4.000075282308657, 16.00070267014656, 64.0202917612412)"
742,TCGA-HW-8321-01Z-00-DX1.5A8CE14C-5AD0-45E2-8C77-B4BCC1877373,TCGA-HW-8321,40x,"(1.0, 4.000024654832347, 16.00009861932939, 32.00233171037703)"
743,TCGA-HW-8322-01Z-00-DX1.B6F32F6B-7FA3-42E4-98CB-F2F55208F7C4,TCGA-HW-8322,40x,"(1.0, 4.000043965706748, 16.000950444658777, 64.0150621975115)"
744,TCGA-HW-A5KJ-01Z-00-DX1.565C251B-6B1B-4589-99E6-DD1ED951CA0C,TCGA-HW-A5KJ,40x,"(1.0, 4.0, 16.00144806321385, 32.00536392926793)"
745,TCGA-HW-A5KK-01Z-00-DX1.DBE8A4F7-456E-4094-93D8-10D3238E86DD,TCGA-HW-A5KK,40x,"(1.0, 4.000043088590141, 16.000172354360565, 64.01172413793103)"
746,TCGA-HW-A5KL-01Z-00-DX1.9BE3C44C-8738-4F55-8CCD-DBE3A92A88CE,TCGA-HW-A5KL,40x,"(1.0, 4.000049972515116, 16.00139944022391, 32.00279888044782)"
747,TCGA-HW-A5KM-01Z-00-DX1.A8D3FF2B-3E88-46E0-8EFE-E2820F352EB1,TCGA-HW-A5KM,40x,"(1.0, 4.000099285146942, 16.00110485467128, 32.00644720782804)"
748,TCGA-IK-7675-01Z-00-DX1.1afabdc4-ee6b-4a8a-8f9f-2bdead91ee76,TCGA-IK-7675,40x,"(1.0, 4.0000868809730665, 16.005895367448552, 32.01545940761629)"
